1025.7223 0.079140   1.897E8  #Ly2 #f, Gamma C-C Lee et al, in prep 2019
972.5368  0.029010   8.127E7  #Ly3
949.7431  0.013950   4.204E7  #Ly4
937.8035  0.007803   2.450E7  #Ly5
930.7483  0.004817   1.551E7  #Ly6
926.2257  0.003185   1.043E7  #Ly7  #Aki = 8.255E6 (< real Gamma)
923.1504  0.002217   7.344E6  #Ly8 #(n=9) 
920.9631  0.001606   5.366E6  #Ly9
919.3514  0.001201   4.038E6  #Ly10 
918.1294  0.0009219  3.115E6  #Ly11 #n=12 
917.1806  0.0007231  2.453E6  #Ly12 #13
916.429   0.0005777  1.966E6  #Ly13 #14
915.824   0.0004689  1.600E6  #Ly14
915.329   0.0003858  1.319E6  #Ly15 #n16
914.919   0.0003213  1.100E6  #Ly16 #n17
914.576   0.0002704  9.275E5  #Ly17
914.286   0.0002297  7.890E5  #Ly18 
914.039   0.0001968  6.767E5  #Ly19 
913.826   0.0001699  5.848E5  #Ly20 #(n=21)
913.641   0.0001477  5.088E5  #Ly21 
913.480   0.0001292  4.454E5  #Ly22
913.339   0.0001136  3.921E5  #Ly23
913.215   0.0001005  3.470E5  #Ly24
913.104   0.00008932 3.085E5  #Ly25
913.006   0.00007974 2.756E5  #Ly26
912.918   0.00007148 2.471E5  #Ly27
912.839   0.00006432 2.225E5  #Ly28
912.768   0.00005809 2.010E5  #Ly29
912.703   0.00005264 1.882E5  #Ly30 #(n=31)  asymtotic f 1.576/n^3 from (so A~1/n3)
912.645   0.000048   1.277E5  #Ly31 #(n=32) Aki this one 1934MNRAS..95..101Woolley
911.7536  0.630E-17  1.0000  #Lyman limit
